mal_id,title,title_english,title_japanese,title_synonyms,year,season,season_label,score,scored_by,rank,popularity,members,favorites,episodes,type,status,airing,approved,duration,rating,source,broadcast,aired_from,aired_to,trailer_url,is_hentai,is_japanese,studios,studios_count,producers,producers_count,licensors,licensors_count,genres,genres_count,themes,themes_count,demographics,demographics_count,synopsis_short,background_short,url
16011,Tokyo Ravens,Tokyo Ravens,東京レイヴンズ,,2013,fall,Fall 2013,7.4,230516,2627,503,518014,2079,24,TV,Finished Airing,False,True,23 min per ep,PG-13 - Teens 13 or older,Light novel,Wednesdays at 00:30 (JST),2013-10-09T00:00:00+00:00,2014-03-26T00:00:00+00:00,https://www.youtube-nocookie.com/embed/7MuxbeVaoDM?enablejsapi=1&wmode=opaque&autoplay=1,False,True,8bit,1,Geneon Universal Entertainment|Movic|Bushiroad|Showgate|Tokyo MX|i0+|Fujimi Shobo,7,Funimation,1,Action|Fantasy|Romance,3,School|Urban Fantasy,2,,0,Onmyoudou magic was once a powerful technique used by the Japanese during the second World War in order for them to gain the upper hand and establish their nation as a formidable force. But Japan was ...,Tokyo Ravens adapts volumes 1 through 9 of the original light novel series.,https://myanimelist.net/anime/16011/Tokyo_Ravens
17549,Non Non Biyori,Non Non Biyori,のんのんびより,,2013,fall,Fall 2013,7.94,186263,839,584,456761,6551,12,TV,Finished Airing,False,True,24 min per ep,PG-13 - Teens 13 or older,Manga,Tuesdays at 02:05 (JST),2013-10-08T00:00:00+00:00,2013-12-24T00:00:00+00:00,https://www.youtube-nocookie.com/embed/GtOCzzLNsOY?enablejsapi=1&wmode=opaque&autoplay=1,False,True,SILVER LINK.,1,TV Tokyo|Lantis|Media Factory|Kadokawa Shoten|AT-X|Sony Music Communications,6,Sentai Filmworks,1,Slice of Life,1,CGDCT|Iyashikei|School,3,Seinen,1,"Hotaru Ichijou's lifestyle completely changes when she leaves Tokyo and moves with her family to the isolated Asahigaoka village. Her new school has only five students including herself, all sharing a...","Non Non Biyori placed first in the 2013 Fall Anime Satisfaction Ranking conducted by Akiba Research Institute. In the same year, the anime ranked third in the men's division of the Anime!Anime! survey...",https://myanimelist.net/anime/17549/Non_Non_Biyori
19221,"Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru",My Mental Choices Are Completely Interfering With My School Romantic Comedy,俺の脳内選択肢が、学園ラブコメを全力で邪魔している,My Mental Multiple-Choice Power Is Completely Ruining My School Romantic Comedy|NouCome|NouKome,2013,fall,Fall 2013,7.12,222559,4175,636,426737,1547,10,TV,Finished Airing,False,True,24 min per ep,PG-13 - Teens 13 or older,Light novel,Thursdays at 01:00 (JST),2013-10-10T00:00:00+00:00,2013-12-12T00:00:00+00:00,https://www.youtube-nocookie.com/embed/W0z8nMaAsFs?enablejsapi=1&wmode=opaque&autoplay=1,False,True,Diomedéa,1,Kadokawa Shoten|DAX Production|MAGES.,3,Sentai Filmworks,1,Comedy|Romance,2,Harem|School,2,,0,"For Kanade Amakusa, life as a high schooler should have been normal, and it would have been—if he wasn't living with the most ridiculous curse imaginable. ""Absolute Choice,"" a system forced upon him b...","Episode 1 was previewed at a screening in Tokyo on September 28, 2013. Regular broadcasting began on October 10, 2013.",https://myanimelist.net/anime/19221/Ore_no_Nounai_Sentakushi_ga_Gakuen_Love_Comedy_wo_Zenryoku_de_Jama_Shiteiru
18247,IS: Infinite Stratos 2,Infinite Stratos 2,IS〈インフィニット・ストラトス〉2,,2013,fall,Fall 2013,6.45,238999,8183,650,417315,534,12,TV,Finished Airing,False,True,24 min per ep,PG-13 - Teens 13 or older,Light novel,Fridays at 01:58 (JST),2013-10-04T00:00:00+00:00,2013-12-20T00:00:00+00:00,https://www.youtube-nocookie.com/embed/HF1-h8afKYw?enablejsapi=1&wmode=opaque&autoplay=1,False,True,8bit,1,Lantis|TBS|Sony Music Communications|Overlap,4,Sentai Filmworks,1,Action|Comedy|Romance|Sci-Fi|Ecchi,5,Harem|School,2,,0,Second season of Infinite Stratos.,,https://myanimelist.net/anime/18247/IS__Infinite_Stratos_2
19369,Outbreak Company,Outbreak Company,アウトブレイク・カンパニー,,2013,fall,Fall 2013,7.15,188882,4006,715,385855,926,12,TV,Finished Airing,False,True,24 min per ep,PG-13 - Teens 13 or older,Light novel,Fridays at 01:28 (JST),2013-10-04T00:00:00+00:00,2013-12-20T00:00:00+00:00,https://www.youtube-nocookie.com/embed/0-P2F7Lz7Mk?enablejsapi=1&wmode=opaque&autoplay=1,False,True,feel.,1,Pony Canyon|TBS|Kodansha|Movic|DAX Production,5,Sentai Filmworks,1,Comedy|Fantasy,2,Harem|Isekai|Otaku Culture|Parody,4,,0,"Shinichi Kanou is a shut-in otaku with a vast knowledge of anime, manga, and video games. One day, after applying for a job in hopes of escaping his secluded lifestyle, he is kidnapped and transported...",,https://myanimelist.net/anime/19369/Outbreak_Company
17513,Diabolik Lovers,Diabolik Lovers,DIABOLIK LOVERS,DiaLover,2013,fall,Fall 2013,5.18,212153,14079,737,375533,1904,12,TV,Finished Airing,False,True,14 min per ep,R - 17+ (violence & profanity),Visual novel,Mondays at 23:30 (JST),2013-09-16T00:00:00+00:00,2013-12-09T00:00:00+00:00,https://www.youtube-nocookie.com/embed/5rzoyyotvD4?enablejsapi=1&wmode=opaque&autoplay=1,False,True,Zexcs,1,Frontier Works|Idea Factory|Showgate,3,Sentai Filmworks,1,Drama|Supernatural,2,Reverse Harem|School|Vampire,3,Josei,1,"At the behest of her father, Yui Komori goes to live in a secluded mansion, home to the six Sakamaki brothers—Shuu, Reiji, Ayato, Kanato, Laito, and Subaru—a family of vampires. Though at first the si...",,https://myanimelist.net/anime/17513/Diabolik_Lovers
17247,Machine-Doll wa Kizutsukanai,Unbreakable Machine-Doll,機巧少女〈マシンドール〉は傷つかない,Machine Girl wa Kizutsukanai|Kikou Shoujo wa Kizutsukanai,2013,fall,Fall 2013,7.02,163082,4696,815,344869,675,12,TV,Finished Airing,False,True,23 min per ep,R+ - Mild Nudity,Light novel,Mondays at 20:30 (JST),2013-10-07T00:00:00+00:00,2013-12-23T00:00:00+00:00,https://www.youtube-nocookie.com/embed/uKWMYSi4h8I?enablejsapi=1&wmode=opaque&autoplay=1,False,True,Lerche,1,Genco|Media Factory|Kadokawa Shoten|Movic|AT-X|Showgate,6,Funimation,1,Action|Fantasy|Ecchi,3,School,1,,0,"The Walpurgis Royal Academy of Machinart was founded alongside the development of ""Machinart,"" machine magic capable of giving life and intelligence to mechanical dolls subsequently called as ""automat...",Machine-Doll wa Kizutsukanai adapts the first three volumes of Reiji Kaitou's light novel series of the same title.,https://myanimelist.net/anime/17247/Machine-Doll_wa_Kizutsukanai
18677,Yuusha ni Narenakatta Ore wa Shibushibu Shuushoku wo Ketsui Shimashita.,"I Couldn't Become a Hero, So I Reluctantly Decided to Get a Job",勇者になれなかった俺はしぶしぶ就職を決意しました。,Yu-sibu|Yusibu|Yuushibu,2013,fall,Fall 2013,6.79,141897,5977,872,326755,578,12,TV,Finished Airing,False,True,24 min per ep,R+ - Mild Nudity,Light novel,Saturdays at 01:30 (JST),2013-10-05T00:00:00+00:00,2013-12-21T00:00:00+00:00,https://www.youtube-nocookie.com/embed/JYEKEHJpVrU?enablejsapi=1&wmode=opaque&autoplay=1,False,True,asread.,1,Lantis|Kadokawa Shoten|Rakuonsha|KlockWorx|chara-ani.com|Docomo Anime Store|Fujimi Shobo,7,Sentai Filmworks,1,Comedy|Fantasy|Romance|Ecchi,4,,0,,0,"Dreaming of becoming a hero and vanquishing the Demon King, Raul Chaser enters the Hero Training Program in pursuit of his ambition. However, when the Demon King is defeated and peace returns to the w...",The series adapts the first 3 volumes of Jun Sakyou's light novel series of the same title.,https://myanimelist.net/anime/18677/Yuusha_ni_Narenakatta_Ore_wa_Shibushibu_Shuushoku_wo_Ketsui_Shimashita
19647,Hajime no Ippo: Rising,Fighting Spirit: Rising,はじめの一歩 Rising,Fighting Spirit: Rising|Hajime no Ippo 3,2013,fall,Fall 2013,8.61,165095,105,937,301167,1437,25,TV,Finished Airing,False,True,22 min per ep,PG-13 - Teens 13 or older,Manga,Sundays at 01:35 (JST),2013-10-06T00:00:00+00:00,2014-03-30T00:00:00+00:00,,False,True,Madhouse|MAPPA,2,VAP|Kodansha|Nippon Television Network,3,,0,Sports,1,Combat Sports,1,Shounen,1,"Japanese Featherweight Champion Makunouchi Ippo has defended his title belt once more with the help of his devastating signature move: the Dempsey Roll. However, new challengers are rising up left and...",,https://myanimelist.net/anime/19647/Hajime_no_Ippo__Rising
18689,Diamond no Ace,Ace of Diamond,ダイヤのA[エース],Daiya no Ace|Ace of the Diamond|Dia no A,2013,fall,Fall 2013,8.11,124830,569,1057,268617,4999,75,TV,Finished Airing,False,True,24 min per ep,PG-13 - Teens 13 or older,Manga,Sundays at 08:30 (JST),2013-10-06T00:00:00+00:00,2015-03-29T00:00:00+00:00,https://www.youtube-nocookie.com/embed/9RUV98RNnNg?enablejsapi=1&wmode=opaque&autoplay=1,False,True,Production I.G|Madhouse,2,TV Tokyo|Sotsu|Pony Canyon|Kodansha|AT-X|DAX Production,6,,0,Sports,1,School|Team Sports,2,Shounen,1,"With a stray pitch that completely missed the batter, Eijun Sawamura loses his final middle school baseball game. Frustrated by this defeat, Eijun and his teammates vow to reach the national tournamen...","Episode 1 was previewed at a screening in Tokyo on September 28, 2013. Regular broadcasting began on October 6, 2013. Although the anime was originally scheduled to run for a year, an additional two c...",https://myanimelist.net/anime/18689/Diamond_no_Ace
